English,French,Italian,Spanish
"['_th', 29132]","['es_', 25226]","['to_', 15363]","['_de', 26725]"
"['the', 22026]","['_de', 21457]","['_di', 13916]","['os_', 20270]"
"['he_', 19224]","['de_', 15362]","['_de', 13619]","['de_', 18977]"
"['ion', 10821]","['nt_', 14837]","['ion', 13045]","['_la', 15530]"
"['on_', 10171]","['ent', 14730]","['re_', 12592]","['as_', 12321]"
"['_to', 9595]","['ion', 13032]","['ne_', 11723]","['la_', 12020]"
"['_of', 9497]","['_le', 11910]","['ent', 11557]","['es_', 11821]"
"['of_', 9216]","['on_', 11159]","['_co', 11221]","['que', 11146]"
"['_in', 9114]","['le_', 10573]","['la_', 11105]","['_qu', 11026]"
"['to_', 9063]","['_qu', 10283]","['di_', 10969]","['ent', 10946]"
"['_an', 8589]","['que', 9984]","['one', 10036]","['ue_', 10676]"
"['nd_', 8434]","['re_', 9926]","['le_', 9745]","['_n_', 10547]"
"['is_', 8046]","['ns_', 9634]","['_in', 8871]","['_co', 10367]"
"['and', 7722]","['la_', 9524]","['del', 8853]","['el_', 9837]"
"['ent', 7646]","['_la', 9404]","['ell', 8395]","['en_', 9684]"
"['ed_', 6860]","['_co', 8793]","['che', 8307]","['_en', 9097]"
"['ing', 6705]","['tio', 8438]","['he_', 8234]","['nte', 8730]"
"['tio', 6686]","['men', 8141]","['zio', 8157]","['_es', 8477]"
"['ng_', 6588]","['ons', 8075]","['te_', 7970]","['_a_', 7948]"
"['in_', 6450]","['ue_', 7862]","['ti_', 7539]","['te_', 7711]"
"['_co', 6240]","['et_', 7458]","['nte', 7392]","['est', 7694]"
"['re_', 6085]","['les', 7396]","['_pr', 7373]","['_el', 7256]"
"['es_', 6076]","['ne_', 6947]","['men', 7216]","['do_', 7197]"
"['at_', 5991]","['ur_', 6506]","['_ch', 7140]","['_lo', 6889]"
"['_re', 5863]","['_pr', 6483]","['con', 6828]","['_se', 6828]"
"['nt_', 5736]","['_et', 6450]","['no_', 6645]","['con', 6748]"
"['er_', 5347]","['us_', 6446]","['_e_', 6387]","['_y_', 6442]"
"['_be', 5250]","['er_', 6254]","['per', 6045]","['_pr', 6117]"
"['hat', 4906]","['_pa', 6179]","['lla', 5893]","['_re', 5904]"
"['al_', 4812]","['_l', 6084]","['_la', 5741]","['ar_', 5882]"
"['_is', 4809]","['eme', 6072]","['azi', 5681]","['aci', 5821]"
"['men', 4797]","['ati', 5817]","['are', 5661]","['to_', 5755]"
"['ati', 4631]","['_po', 5621]","['_un', 5594]","['ra_', 5651]"
"['for', 4581]","['des', 5572]","['li_', 5491]","['ci_', 5632]"
"['tha', 4527]","['_ce', 5538]","['_pe', 5451]","['men', 5492]"
"['_pr', 4409]","['_en', 5394]","['_qu', 5349]","['los', 5485]"
"['_a_', 4212]","['con', 5287]","['_al', 5232]","['_un', 5394]"
"['ly_', 4084]","['en_', 5183]","['ta_', 5091]","['res', 5329]"
"['ve_', 4053]","['ce_', 5093]","['_ri', 4865]","['_po', 5313]"
"['or_', 3944]","['eur', 5066]","['nto', 4819]","['ado', 4997]"
"['_wh', 3942]","['_no', 4953]","['er_', 4704]","['or_', 4996]"
"['an_', 3829]","['ous', 4838]","['pro', 4629]","['sta', 4726]"
"['_fo', 3811]","['our', 4683]","['in_', 4495]","['se_', 4714]"
"['_ha', 3727]","['te_', 4667]","['est', 4286]","['_pa', 4574]"
"['_wi', 3719]","['_au', 4563]","['io_', 4252]","['al_', 4456]"
"['thi', 3705]","['_un', 4551]","['ssi', 4204]","['_in', 4209]"
"['as_', 3694]","['est', 4487]","['_no', 4174]","['cia', 4196]"
"['res', 3677]","['_d', 4388]","['ato', 4162]","['par', 3904]"
"['his', 3500]","['omm', 4043]","['_si', 4160]","['_ha', 3877]"
"['pro', 3448]","['ont', 3976]","['ame', 4153]","['las', 3865]"
"['_on', 3295]","['is_', 3944]","['ere', 4148]","['nci', 3841]"
"['con', 3292]","['tre', 3940]","['ni_', 4127]","['nto', 3820]"
"['ate', 3204]","['ant', 3841]","['on_', 4103]","['por', 3639]"
"['_we', 3179]","['par', 3781]","['_il', 4046]","['pro', 3615]"
"['ll_', 3168]","['_so', 3768]","['il_', 3982]","['ien', 3579]"
"['ons', 3069]","['pro', 3740]","['_po', 3811]","['er_', 3579]"
"['se_', 3064]","['me_', 3691]","['si_', 3800]","['ta_', 3573]"
"['st_', 3063]","['ire', 3684]","['el_', 3675]","['ion', 3566]"
"['_Co', 3042]","['res', 3684]","['ett', 3664]","['no_', 3533]"
"['her', 3038]","['it_', 3630]","['ono', 3658]","['ida', 3511]"
"['ts_', 3020]","['té_', 3625]","['ess', 3624]","['tra', 3503]"
"['ch_', 2981]","['lle', 3418]","['ati', 3620]","['_no', 3409]"
"['nan', 2900]","['ans', 3418]","['res', 3595]","['ica', 3406]"
"['omm', 2887]","['_dé', 3364]","['ia_', 3576]","['ia_', 3391]"
"['en_', 2879]","['ts_', 3361]","['sta', 3553]","['mos', 3377]"
"['ere', 2870]","['_re', 3212]","['_so', 3508]","['na_', 3319]"
